id;value;jhi_system;parsed;period_start;period_end;outcome;disposition;payment_amount;payment_identifier
1;Ergonomic bandwidth Valley;Manager Shirt back-end;Accounts Handmade;2021-06-02T16:45:09;2021-06-02T22:15:45;distributed redefine Frozen;Cotton Malagasy;5810;interface
2;Indiana;Corporate Port;info-mediaries hack Gorgeous;2021-06-02T13:19:54;2021-06-03T07:02:57;Credit;Polarised e-markets Rustic;75171;bifurcated Chicken Digitized
3;optical engineer;Brooks;Spring Computers;2021-06-02T21:12:33;2021-06-03T04:49:32;utilize;Self-enabling didactic Outdoors;46727;Plastic
4;needs-based Island;Quality deposit;Bedfordshire Digitized;2021-06-03T05:29:36;2021-06-03T03:59:55;Chief SAS connecting;Grass-roots;50384;Clothing Wooden port
5;wireless background architect;Uruguay next-generation Practical;azure;2021-06-02T23:41:00;2021-06-02T15:49:37;Generic;Regional e-business;44565;Tools
6;Account;Sleek;Singapore;2021-06-02T13:24:19;2021-06-02T14:24:37;Extended transmitting bypassing;Mauritius;66854;Rwanda payment Borders
7;Operations;indexing withdrawal;Niger Ariary payment;2021-06-02T22:39:06;2021-06-02T21:04:27;Distributed;Lights;86566;Ball
8;Product Ergonomic Checking;salmon Azerbaijan virtual;Denar matrix Rustic;2021-06-03T03:57:14;2021-06-02T14:08:24;programming Car Reverse-engineered;Integrated impactful Automotive;62028;Junction Technician Down-sized
9;Manor program Synergistic;9(E.U.A.-9) leverage e-commerce;Corners;2021-06-02T12:39:45;2021-06-02T08:33:49;Optimized protocol Engineer;maroon Rustic web-enabled;11400;Frozen
10;withdrawal;Associate Officer;card;2021-06-02T14:39:25;2021-06-02T12:55:29;Concrete Zambia;Rubber Borders;32777;payment bus
